## file created 05.May.2015 #
#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 4800508B  41   1   u    0       0         14              7    HB    -33    11      1
 4800548B  41   1   u    0       0         15              0    HB    -41    11      1
 4800528D  41   1   u    0       0         15              1    HB    -37    13      1
 4800518D  41   1   u    0       0         15              2    HB    -35    13      1
 4800530D  41   1   u    0       0         15              3    HB    -38    13      1
 4800520D  41   1   u    0       0         15              4    HB    -36    13      1
 4800538D  41   1   u    0       0         15              5    HB    -39    13      1
 4800948B  41   1   u    0       0         15              6    HB    -41    11      2
 4800928D  41   1   u    0       0         15              7    HB    -37    13      2
 4800918D  41   1   u    0       0         16              0    HB    -35    13      2
 4800930D  41   1   u    0       0         16              1    HB    -38    13      2
 4800920D  41   1   u    0       0         16              2    HB    -36    13      2
 4800938D  41   1   u    0       0         16              3    HB    -39    13      2
 4800940B  41   1   u    0       0         16              4    HB    -40    11      2
 4800930B  41   1   u    0       0         16              5    HB    -38    11      2
 4800920B  41   1   u    0       0         16              6    HB    -36    11      2
 4800928B  41   1   u    0       0         16              7    HB    -37    11      2
 4800918B  41   1   u    0       0         17              0    HB    -35    11      2
 4800938B  41   1   u    0       0         17              1    HB    -39    11      2
 4800540B  41   1   u    0       0         17              2    HB    -40    11      1
 4800530B  41   1   u    0       0         17              3    HB    -38    11      1
 4800520B  41   1   u    0       0         17              4    HB    -36    11      1
 4800528B  41   1   u    0       0         17              5    HB    -37    11      1
 4800518B  41   1   u    0       0         17              6    HB    -35    11      1
 4800538B  41   1   u    0       0         17              7    HB    -39    11      1
 4800508D  41   1   u    0       0         18              0    HB    -33    13      1
 48004F8D  41   1   u    0       0         18              1    HB    -31    13      1
 48004E8D  41   1   u    0       0         18              2    HB    -29    13      1
 4800500D  41   1   u    0       0         18              3    HB    -32    13      1
 48004F0D  41   1   u    0       0         18              4    HB    -30    13      1
 4800510D  41   1   u    0       0         18              5    HB    -34    13      1
 4800908D  41   1   u    0       0         18              6    HB    -33    13      2
 48008F8D  41   1   u    0       0         18              7    HB    -31    13      2
 48008E8D  41   1   u    0       0         19              0    HB    -29    13      2
 4800900D  41   1   u    0       0         19              1    HB    -32    13      2
 48008F0D  41   1   u    0       0         19              2    HB    -30    13      2
 4800910D  41   1   u    0       0         19              3    HB    -34    13      2
 4800910B  41   1   u    0       0         19              4    HB    -34    11      2
 4800900B  41   1   u    0       0         19              5    HB    -32    11      2
 48008F0B  41   1   u    0       0         19              6    HB    -30    11      2
 48008F8B  41   1   u    0       0         19              7    HB    -31    11      2
 48008E8B  41   1   u    0       0         20              0    HB    -29    11      2
 4800908B  41   1   u    0       0         20              1    HB    -33    11      2
 4800510B  41   1   u    0       0         20              2    HB    -34    11      1
 4800500B  41   1   u    0       0         20              3    HB    -32    11      1
 48004F0B  41   1   u    0       0         20              4    HB    -30    11      1
 48004F8B  41   1   u    0       0         20              5    HB    -31    11      1
 48004E8B  41   1   u    0       0         20              6    HB    -29    11      1
 4800508B  41   1   u    0       0         20              7    HB    -33    11      1
 4800548B  41   1   u    0       0         21              0    HB    -41    11      1
 4800528D  41   1   u    0       0         21              1    HB    -37    13      1
 4800518D  41   1   u    0       0         21              2    HB    -35    13      1
 4800530D  41   1   u    0       0         21              3    HB    -38    13      1
 4800520D  41   1   u    0       0         21              4    HB    -36    13      1
 4800538D  41   1   u    0       0         21              5    HB    -39    13      1
 4800948B  41   1   u    0       0         21              6    HB    -41    11      2
 4800928D  41   1   u    0       0         21              7    HB    -37    13      2
 4800918D  41   1   u    0       0         22              0    HB    -35    13      2
 4800930D  41   1   u    0       0         22              1    HB    -38    13      2
 4800920D  41   1   u    0       0         22              2    HB    -36    13      2
 4800938D  41   1   u    0       0         22              3    HB    -39    13      2
 4800940B  41   1   u    0       0         22              4    HB    -40    11      2
 4800930B  41   1   u    0       0         22              5    HB    -38    11      2
 4800920B  41   1   u    0       0         22              6    HB    -36    11      2
 4800928B  41   1   u    0       0         22              7    HB    -37    11      2
 4800918B  41   1   u    0       0         23              0    HB    -35    11      2
 4800938B  41   1   u    0       0         23              1    HB    -39    11      2
 4800540B  41   1   u    0       0         23              2    HB    -40    11      1
 4800530B  41   1   u    0       0         23              3    HB    -38    11      1
 4800520B  41   1   u    0       0         23              4    HB    -36    11      1
 4800528B  41   1   u    0       0         23              5    HB    -37    11      1
 4800518B  41   1   u    0       0         23              6    HB    -35    11      1
 4800538B  41   1   u    0       0         23              7    HB    -39    11      1
